Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Employer Provided,Hourly,min_sal,max_sal,avg_sal,Onsite,State,Age,python,spark,tableau,tensorflow,Simplified Title,Seniority,isPrivate
Data Engineer,$78K - $114K (Glassdoor est.),"Exodus Integrity Services, Inc is a rapidly expanding technology company headquartered in Northeast Ohio. EIS provides quality services to our clients by instilling honesty, commitment, and hard work to find the most qualified candidates to fill each opportunity. Currently, we are seeking individuals to fill multiple Data Engineer opportunities with our client in Cleveland, Ohio. This is a very exciting opportunity working with one of the top employers in the area. If you are interested in joining a vibrant organization where you are valued and rewarded for your contributions, and you possess the qualifications listed below, please forward your resume and salary requirements.

No 3rd parties. Candidate MUST be W2 employee of Exodus Integrity Services, Inc.

This opportunity is 100% remote! Candidate MUST reside in the United States.










Since 1997, Exodus Integrity Services, Inc. (EIS) has brought hundreds of companies and thousands of talented IT professionals together. With over 120 years of combined industry and functional experience, the EIS team takes a consultative approach to identify client objectives and create practical initiatives that solve problems quickly and efficiently. We specialize in Consulting Solutions, Contingent and Direct Workforce Staffing, and Healthcare IT Solutions.

EIS is an equal opportunity employer. In accordance with anti-discrimination law, it is the purpose of this policy to effectuate these principles and mandates. EIS prohibits discrimination and harassment of any type and affords equal employment opportunities to employees and applicants without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. EIS conforms to the spirit as well as to the letter of all applicable laws and regulations.",3.6,Exodus Integrity Services,"Cleveland, OH",51 to 200 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),0,0,78.0,114.0,96.0,1,OH,26,0,0,0,0,na,na,1
Data Scientist,Employer Provided Salary:$92K - $103K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",-1.0,KesarWeb,"Memphis, TN",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,1,0,92.0,103.0,97.5,1,TN,-1,0,0,0,0,data scientist,na,1
Junior Data Scientist/ Data Analytics - Full Time Position,$72K - $110K (Glassdoor est.),"Job Type:
Full Time
Locaton:
Little Elm, TX
Job Id:
RSA - 1021
Experience:
Posted Date:
12/22/2021",5.0,RSA Tech,"Little Elm, TX",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,0,0,72.0,110.0,91.0,1,TX,-1,0,0,0,0,data scientist,junior,0
Data Scientist I,Employer Provided Salary:$80K - $125K,"Job Title: Data Scientist I
Department: Data

About the Role:
We are currently seeking a highly motivated Data Scientist I. This role will report to Senior Data Scientist and enable us to continue to scale in the healthcare industry. The successful candidate will have a strong background in statistical analysis, machine learning, and data visualization, as well as the ability to work with large and complex data sets. The Data Scientist I will be responsible for using data and analytics to drive strategic decision making and support business objectives within the healthcare industry.
What You'll Do:",4.6,ApolloMed,Remote,501 to 1000 Employees,1994,Company - Public,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),1,0,80.0,125.0,102.5,0,remote,29,0,0,0,0,data scientist,na,0
Data Scientist,Employer Provided Salary:$145K - $225K,"CTC is a cutting-edge proprietary trading firm with a long-term vision and a clear focus on helping the world price and manage risk. Our fun and trusting culture inspires us to solve the industry’s most challenging problems and take calculated risks in a collaborative environment.
We strive to be the most innovative firm in the industry today, tomorrow, and long into the future while upholding ethical excellence. We believe that CTC makes a positive impact on the markets, the lives of our employees, and all the communities to which we belong. Started in 1995 by a team of forward-thinking Traders, we are proud to call ourselves an industry leader that keeps making markets and each other better.
As a Data Scientist, you will help foster research innovation, expand trading capacity and enhance strategy diversification for the firm. Your role is to work closely with Quant Researchers and Engineers to discover, analyze and maintain sources of alpha for our trading desks.",4.1,Chicago Trading Company (CTC),"Chicago, IL",201 to 500 Employees,-1,Company - Private,Investment & Asset Management,Financial Services,$100 to $500 million (USD),1,0,145.0,225.0,185.0,1,IL,-1,0,0,0,0,data scientist,na,1
Data Scientist,Employer Provided Salary:$70K - $130K,"Job Location: San Diego, CA
Job Qualifications:
M.S. in data science, machine learning, bioinformatics or cheminformatics.
Proficient in Python and capable of implementing the common ML algorithms.
Proficient in R is a plus.
Proficient in Linux bash scripting.
Experience working with pharmaceutical research is a plus.
Effective communication skills
Familiar with web-deployment of model is a plus.",-1.0,Elite ProTek,"Coronado, CA",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,1,0,70.0,130.0,100.0,1,CA,-1,1,0,0,0,data scientist,na,0
Data Scientist,$89K - $139K (Glassdoor est.),"About the Opportunity
Position Summary and Responsibilities:
Support computational metabolomics research effort
Serve as subject matter expert on computational metabolomics
Interface between biologist and computational science teams
running IROA calibrations and experiments on mass specs
parsing the data from said experiments, testing and developing different algorithms for the processing of isotopically labelled single cell data
Qualifications:
Knowledge, Skills and Abilities:

Preferred Experience:
Research",4.2,Northeastern University,"Boston, MA",1001 to 5000 Employees,1898,College / University,Colleges & Universities,Education,$100 to $500 million (USD),0,0,89.0,139.0,114.0,1,MA,125,0,0,0,0,data scientist,na,-1
Data Scientist,Employer Provided Salary:$90K - $120K,"ABOUT:
The Premier Lacrosse League is a North American outdoor professional lacrosse league featuring the world’s 200 best players. The Premier Lacrosse League was co-founded by lacrosse superstar Paul Rabil and his brother, serial entrepreneur and investor, Mike Rabil, and is backed by an investment group composed of Joe Tsai Sports, Brett Jefferson Holdings, The Raine Group, The Chernin Group, Arctos Sports Partners, Creative Artists Agency (CAA) and other leading sports and media executives, entrepreneurs and investors. PLL games are distributed through an exclusive media-rights agreement with ESPN. The league has partnered with blue chip brands through its first four years of play, such as Ticketmaster, CashApp, Gatorade and Progressive.

COMPANY VALUES:
Stay grounded",4.4,Premier Lacrosse League,"Torrance, CA",1 to 50 Employees,-1,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,1,0,90.0,120.0,105.0,1,CA,-1,0,0,0,0,data scientist,na,1
"Data Scientist or Statistician, Postdoc",Employer Provided Salary:$67K - $120K,"Center Information:
The Quantitative Biomedical Research Center (QBRC) is a well-established research center at UT Southwestern Medical Center (UTSW). It aims to foster collaborations involving quantitative methods and technologies in any aspect of biomedical research, particularly for understanding disease etiologies and developing treatment and prevention strategies. Currently, the center has six faculty members, around 40 staff members, postdocs and student research assistants. We are actively recruiting new members to join this new and dynamic group.
Position Title: Data Scientist I, II, III, Computational biologist I, II, III or Postdoctoral Fellow (Bioinformatics/Biostatistics)
Duties & Responsibilities: For bioinformatics or statistician scientists, the projects include developing novel method for analysis and integration of multiple-omics data, and single cell genomics and transcriptome analysis. For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning methods on real medical problems.",4.0,UT Southwestern Medical Center,Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),1,0,67.0,120.0,93.5,0,remote,80,0,0,0,0,data scientist,na,-1
Data Scientist,$80K - $123K (Glassdoor est.),"Career Area:
Information Analytics
Job Description:
When you join Caterpillar, you're joining a global team who cares not just about the work we do – but also about each other. We are the makers, problem solvers and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here – we make it happen, with our customers, where we work and live. Together, we are building a better world, so we can all enjoy living in it.
Job Summary:
Relocation is available for this position.Visa sponsorship available for eligible applicants.",4.0,Caterpillar,"Peoria, IL",10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),0,0,80.0,123.0,101.5,1,IL,98,0,0,0,0,data scientist,na,0
Data Scientist,Employer Provided Salary:$115K - $130K,"Headquartered in New York City, Dataiku was founded in Paris in 2013 and achieved unicorn status in 2019. Now, more than 1,000+ employees work across the globe in our offices and remotely. Backed by a renowned set of investors and partners including CapitalG, Tiger Global, and ICONIQ Growth, we've set out to build the future of AI.

The role of a Data Scientist at Dataiku is quite unique. Our Data Scientists not only code up solutions to real-world problems, but also participate in client-facing endeavors throughout the customer journey. This includes supporting their discovery of the platform, helping integrate Dataiku with other tools and technologies, some user training, and co-developing data science projects from design to deployment.
Just as the non-technical skills are important, so too are the technical. Our Data Scientists work on the Dataiku platform every day. Aside from the visual tools, our team uses mostly python, with occasional work in other languages (e.g., R, SQL, pyspark, JavaScript, etc.). An ideal candidate is excited to learn complex new technologies and modeling techniques while being able to explain their work to other data scientists and clients.",4.2,Dataiku,United States,1001 to 5000 Employees,2013,Company - Private,Software Development,Information Technology,$100 to $500 million (USD),1,0,115.0,130.0,122.5,1,US,10,1,1,0,0,data scientist,na,1
REMOTE: Data Scientist,Employer Provided Salary:$70K - $140K,"The Mental Wellbeing team leverages advanced analytics techniques, consulting approaches and healthcare expertise to power mental health innovation for our members and customers. Our over-arching goal is to deliver high quality mental wellbeing that a is tailored to our members clinical needs, and higher quality of care for a cheaper price. As a Data Scientist – Mental Wellbeing, you will be working with cross-functional experts across the mental wellbeing space including strategy, product, operations, sales, account management and with our clinical experts – to design, build and implement initiatives which enable smarter, self-service reporting and analytics for our largest clients. You will apply your experience in research, statistics, and modeling to solve complex problems that are top of mind of our mental wellbeing leaders.

Responsibilities:



The typical pay range for this role is:
Minimum: 70,000
Maximum: 140,000

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.


2-3 years of experience in SQL working with big data platforms (e.g., HDP, AWS, GCP, etc.) and multiple data sources






Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",3.1,CVS Health,Pennsylvania,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),1,0,70.0,140.0,105.0,1,PA,60,0,0,0,0,data scientist,na,0
